,Tourist Spots,Latitude,Longitude,Location,Type
0,Darjeeling,27.05,88.26666666666667,Darjeeling,
1,Darjeeling Himalayan Railway (Toy Train),26.68,88.46000000000001,New Jalpaiguri to Darjeeling,
2,Morgan House,27.04527777777778,88.46083333333334,Kalimpong,
3,Cooch Behar Palace,26.327022222222222,89.43645277777779,Cooch Behar,
5,Jaldapara National Park,26.690833333333334,89.27638888888889,Alipurduar district,
6,Gorumara National Park,26.7,88.8,Jalpaiguri district,
7,Hazarduari Palace,24.18638888888889,88.26861111111111,Murshidabad district (Murshidabad),
8,Nizamat Imambara,24.188333333333333,88.26861111111111,Murshidabad district,
9,Katra Mosque,24.184722222222224,88.28805555555556,Murshidabad district,
10,Adina Deer Park,25.140555555555554,88.17277777777778,Maldah district,
11,Adina Mosque,25.15222222222222,88.16472222222222,Maldah district,
12,Gaur,24.866666666666667,88.13333333333334,Maldah,
13,Bangarh,25.412499999999998,88.53055555555555,Gangarampur,
14,Shantiniketan,23.683333333333334,87.68333333333334,Birbhum,
17,The Great Banyan Tree,22.560833333333335,88.28666666666666,Howrah (Shibpur),
18,Howrah Bridge,22.584999999999997,88.34694444444445,Howrah to Kolkata,
19,B. B. D. Bagh,22.571944444444444,88.34888888888888,Kolkata,
20,Dakshineswar Kali Temple,22.654999999999998,88.35777777777777,North 24 Parganas district (Dakshineswar),
21,Second Hooghly Bridge,22.556944444444444,88.32777777777777,Kolkata to Howrah,
22,Belur Math,22.6325,88.35638888888889,Howrah (Belur Math),
23,Victoria Memorial,22.545,88.3425,Kolkata,
24,Sunderbans delta of India,21.95,89.18333333333334,Southern 24 Parganas District,
25,Digha,21.638333333333332,87.50972222222222,Purba Medinipur,
26,Mandarmani,21.66611111111111,87.705,Purba Medinipur,
27,St. Paul's Cathedral,22.54416666666667,88.34666666666666,Kolkata,
28,Sundarbans National Park,21.838055555555556,88.88527777777779,Sunderbans delta of India,
29,Mayapur,23.438333333333333,88.39277777777778,Nabadwip,
